produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café Tradicional Sabor da Fazenda Vácuo melitta 500g,50.73,https://americanas.vtexassets.com/arquivos/ids/20618035/7238608331_1_xlarge.jpg?v=638755074000400000,0.0,500.0,10.15,Café
"Café Em Pó Baggio, 1 Pacote, 250g, Chocolate Trufado, Café Moído Aromatizado Gourmet Arábica",43.5,https://americanas.vtexassets.com/arquivos/ids/30551428/1902725182_1_xlarge.jpg?v=638794236980400000,0.0,250.0,17.4,Café
Café Moído Colombiano Juan Valdez Colina 250g,47.9,https://americanas.vtexassets.com/arquivos/ids/1119274/7104556935_1_xlarge.jpg?v=638750915613100000,0.0,250.0,19.16,Café
Café Solúvel Liofilizado 3 Corações 100% Arábica 100g,32.09,https://americanas.vtexassets.com/arquivos/ids/4653811/7360946502_1_xlarge.jpg?v=638751286471170000,0.0,100.0,32.09,Café
Café Três Corações Drip Coffee Filtrado Tradicional 10X10G,41.61,https://americanas.vtexassets.com/arquivos/ids/13787599/5924353922_1_xlarge.jpg?v=638754435840300000,0.0,10.0,416.1,Café
Café Torrado E Moído Extraforte Café Pelé Pacote 250G,39.58,https://americanas.vtexassets.com/arquivos/ids/27262165/7508304153_1_xlarge.jpg?v=638755604806530000,0.0,250.0,15.83,Café
"Café Em Pó Baggio, 1 Pacote, 250g, Caramelo, Café Moído Aromatizado Gourmet Arábica",43.5,https://americanas.vtexassets.com/arquivos/ids/18744014/1902725043_1_xlarge.jpg?v=638754888449270000,0.0,250.0,17.4,Café
Café Pilão Torrado E Moído Descafeinado A Vácuo 250G,91.97,https://americanas.vtexassets.com/arquivos/ids/22864621/7496004317_1_xlarge.jpg?v=638755267111700000,0.0,250.0,36.79,Café
Café Solúvel Tradicional Sachê melitta 50g,9.32,https://americanas.vtexassets.com/arquivos/ids/26812846/7316602235_1_xlarge.jpg?v=638755572577670000,0.0,50.0,18.64,Café
"Café Moído, Illy, Clássico, Lata 250g",72.9,https://americanas.vtexassets.com/arquivos/ids/28634782/5319040670_1_xlarge.jpg?v=638755712895900000,0.0,250.0,29.16,Café
"Café em Pó Moído, Coffee Mais, Cerrado Mineiro, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/20595616/7094763681_1_xlarge.jpg?v=638755071613100000,0.0,250.0,21.0,Café
Café Solúvel Matinal Suave Sachê nescafé 50g,8.47,https://americanas.vtexassets.com/arquivos/ids/5987949/5966676148_1_xlarge.jpg?v=638751494991430000,0.0,50.0,16.94,Café
Café Extra Forte melitta 500g,39.43,https://americanas.vtexassets.com/arquivos/ids/4584943/7316512660_1_xlarge.jpg?v=638751278808830000,0.0,500.0,7.89,Café
Café especial premium em grãos baobá 250g,45.76,https://americanas.vtexassets.com/arquivos/ids/27139095/7320027755_1_xlarge.jpg?v=638755596271400000,0.0,250.0,18.3,Café
Café Especial O Bridge 250g 100% Arabica Torra Média,45.9,https://americanas.vtexassets.com/arquivos/ids/14367404/7472200470_1_xlarge.jpg?v=638754504057500000,0.0,250.0,18.36,Café
"Café Solúvel Em Sachê Individual Stick Di Capri 1,3G - 40 U",52.68,https://americanas.vtexassets.com/arquivos/ids/19022230/7467917949_1_xlarge.jpg?v=638754914310630000,0.0,3.0,1756.0,Café
Café em Capsulas Espresso 13 pilão 52g,23.61,https://americanas.vtexassets.com/arquivos/ids/6822908/7495105453_1_xlarge.jpg?v=638751685281470000,0.0,52.0,45.4,Café
Café 3 Corações Descafeinado A Vácuo 250G,59.67,https://americanas.vtexassets.com/arquivos/ids/6939914/2056734695_1_xlarge.jpg?v=638751697280230000,0.0,250.0,23.87,Café
"Café Moído, Lavazza, Espresso, Lata de 250g",60.5,https://americanas.vtexassets.com/arquivos/ids/6429600/5349687829_1_xlarge.jpg?v=638751640851700000,0.0,250.0,24.2,Café
Café Especial Torrado e Moído Sul de Minas santo grão 250g,40.11,https://americanas.vtexassets.com/arquivos/ids/9303530/7461130705_1_xlarge.jpg?v=638752483304100000,0.0,250.0,16.04,Café
Café Gourmet Intenso Moído 250G - Santa Monica,62.22,https://americanas.vtexassets.com/arquivos/ids/1880534/7480239066_1_xlarge.jpg?v=638750997011400000,0.0,250.0,24.89,Café
"Café em Grão, Orfeu, Intenso, 250g",43.9,https://americanas.vtexassets.com/arquivos/ids/22055853/5601905315_1_xlarge.jpg?v=638755198453500000,0.0,250.0,17.56,Café
Café Instantâneo Orgânico 50G - Native,65.01,https://americanas.vtexassets.com/arquivos/ids/17393844/2471522497_1_xlarge.jpg?v=638754763943970000,0.0,50.0,130.02,Café
"Café Moído, Orfeu, Clássico, 250g",46.5,https://americanas.vtexassets.com/arquivos/ids/30574811/5608227414_1_xlarge.jpg?v=638794243061270000,0.0,250.0,18.6,Café
Café Gourmet Torrado e Moído Espresso baggio 250g,33.78,https://americanas.vtexassets.com/arquivos/ids/15843010/5966678725_1_xlarge.jpg?v=638754630601100000,0.0,250.0,13.51,Café
Café O Bridge Brooklyn 250g - 100% Arabica Torra Média,45.9,https://americanas.vtexassets.com/arquivos/ids/3620670/7472214781_1_xlarge.jpg?v=638751171863370000,0.0,250.0,18.36,Café
Café Iguaçu Solúvel Em Pó Lata 200G,72.01,https://americanas.vtexassets.com/arquivos/ids/18752479/4148713824_1_xlarge.jpg?v=638754889205230000,0.0,200.0,36.01,Café
"Café Moído, Illy Selection, Etiopia, Lata 125g",36.9,https://americanas.vtexassets.com/arquivos/ids/6505503/5318124812_1_xlarge.jpg?v=638751650220300000,0.0,125.0,29.52,Café
"Café em Grão Torrado Coffee Mais, Classico, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/11083474/7094767607_1_xlarge.jpg?v=638754136387530000,0.0,250.0,21.0,Café
Café Pilão Extra Forte A Vácuo 250G,75.12,https://americanas.vtexassets.com/arquivos/ids/24620103/7509080684_1_xlarge.jpg?v=638755410570970000,0.0,250.0,30.05,Café
Café Especial O Bridge 250g 100% Arabica Torra Média,77.45,https://americanas.vtexassets.com/arquivos/ids/8812797/7486156757_1_xlarge.jpg?v=638752425625430000,0.0,250.0,30.98,Café
Café Três Corações Extra Forte Embalagem à Vácuo 250G,46.97,https://americanas.vtexassets.com/arquivos/ids/8243338/7504011724_1_xlarge.jpg?v=638752371243570000,0.0,250.0,18.79,Café
Café Especial Torrado e Moído Descafeinado santo grão 250g,98.19,https://americanas.vtexassets.com/arquivos/ids/11651835/7461130651_1_xlarge.jpg?v=638754200068630000,0.0,250.0,39.28,Café
"Café em Grão Torrado Coffee Mais, Chapada de Minas, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/7454501/7094754005_1_xlarge.jpg?v=638751755579600000,0.0,250.0,21.0,Café
Café Gourmet Intenso Moído 250G - Santa Monica,31.9,https://americanas.vtexassets.com/arquivos/ids/21134916/7467614137_1_xlarge.jpg?v=638755122699600000,0.0,250.0,12.76,Café
Café Descafeinado Melitta 250g,50.6,https://americanas.vtexassets.com/arquivos/ids/25225322/7497435767_1_xlarge.jpg?v=638755455745070000,0.0,250.0,20.24,Café
Café Premium Santa Monica Moído 500 Gramas,78.76,https://americanas.vtexassets.com/arquivos/ids/23753215/4924985743_1_xlarge.jpg?v=638755344635800000,0.0,500.0,15.75,Café
Café Solúvel Colombiano Juan Valdez Clássico 95g,83.9,https://americanas.vtexassets.com/arquivos/ids/910392/7305149341_1_xlarge.jpg?v=638750888877570000,0.0,95.0,88.32,Café
"Café Moído, Lavazza, Rossá, Lata de 250g",60.5,https://americanas.vtexassets.com/arquivos/ids/17304745/5349687749_1_xlarge.jpg?v=638754756116500000,0.0,250.0,24.2,Café
"Café em Pó Moído, Coffee Mais, Chapada de Minas, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/2025437/7094745150_1_xlarge.jpg?v=638751011190170000,0.0,250.0,21.0,Café
Cafe baoba gourmet em graos 250 G,36.72,https://americanas.vtexassets.com/arquivos/ids/9355315/7320028766_1_xlarge.jpg?v=638752489323230000,0.0,250.0,14.69,Café
Café Iguaçu Solúvel Em Pó Lata 200G,54.05,https://americanas.vtexassets.com/arquivos/ids/2785916/3151485623_1_xlarge.jpg?v=638751085566300000,0.0,200.0,27.02,Café
Cafe baoba especial intenso moido 250G,29.94,https://americanas.vtexassets.com/arquivos/ids/20705885/7320027659_1_xlarge.jpg?v=638755082562170000,0.0,250.0,11.98,Café
Café Torrado e Moído Espresso Italiano Clássico Lata lavazza 250g,55.25,https://americanas.vtexassets.com/arquivos/ids/29443525/7273673690_1_xlarge.jpg?v=638755779997400000,0.0,250.0,22.1,Café
Café Moído Extra Forte à Vacuo 3Corações 500g,42.55,https://americanas.vtexassets.com/arquivos/ids/23894127/7497327668_1_xlarge.jpg?v=638755355835370000,0.0,500.0,8.51,Café
Café Pilão Extra Forte A Vácuo 250G,40.65,https://americanas.vtexassets.com/arquivos/ids/26952516/7508304464_1_xlarge.jpg?v=638755583154600000,0.0,250.0,16.26,Café
"Café Moído, Illy Selection, Colombia, Lata 125g",36.9,https://americanas.vtexassets.com/arquivos/ids/3098900/5318161605_1_xlarge.jpg?v=638751116902700000,0.0,125.0,29.52,Café
Café Moído Premium bravo 500g,36.04,https://americanas.vtexassets.com/arquivos/ids/2712703/7461130642_1_xlarge.jpg?v=638751078379300000,0.0,500.0,7.21,Café
Café Italiano Qualitá Rossa Moído lavazza 250g,36.04,https://americanas.vtexassets.com/arquivos/ids/13120358/7495105491_1_xlarge.jpg?v=638754369162330000,0.0,250.0,14.42,Café
Café Especial Torrado e Moído Mogiana santo grão 250g,40.56,https://americanas.vtexassets.com/arquivos/ids/30045314/7491774360_1_xlarge.jpg?v=638792881144900000,0.0,250.0,16.22,Café
"Café em Grão Torrado Coffee Mais, Arara, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/13919441/7094767851_1_xlarge.jpg?v=638754448353700000,0.0,250.0,21.0,Café
"Café em Pó Moído, Coffee Mais, Classico, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/15896822/7094756799_1_xlarge.jpg?v=638754635222470000,0.0,250.0,21.0,Café
Café Drip 3 coracoes Gourmet Dark 10 unidade de 11g,36.99,https://americanas.vtexassets.com/arquivos/ids/9883096/7508923449_1_xlarge.jpg?v=638752559856400000,0.0,11.0,336.27,Café
