produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café Pilão Torrado E Moído Tradicional A Vácuo 250G,75.12,https://americanas.vtexassets.com/arquivos/ids/17132429/7495998947_1_xlarge.jpg?v=638754741188970000,0.0,250.0,30.05,Café
Café Pilão Torrado E Moído Extra Forte 3 Pacotes De 500G,,https://americanas.vtexassets.com/arquivos/ids/1765282/7503976946_1_xlarge.jpg?v=638750985851670000,0.0,500.0,,Café
Café Pilão Torrado E Moído Tradicional Vácuo 500G Kit 3,,https://americanas.vtexassets.com/arquivos/ids/9015029/7494467742_1_xlarge.jpg?v=638752448923130000,0.0,500.0,,Café
Café Atalaia Tradicional 250g,31.08,https://americanas.vtexassets.com/arquivos/ids/8706679/33714342_1_xlarge.jpg?v=638752413203200000,0.0,250.0,12.43,Café
Café Atary Caseiro Tradicional 250g,31.08,https://americanas.vtexassets.com/arquivos/ids/18954019/33767979_1_xlarge.jpg?v=638754908041330000,0.0,250.0,12.43,Café
Café Atalaia Tradicional Alto Vacuo 500g cx 20uni,,https://americanas.vtexassets.com/arquivos/ids/1551433/33714315_1_xlarge.jpg?v=638750964104600000,0.0,500.0,,Café
Café Caboclo Tradicional A Vácuo 250g,27.99,https://americanas.vtexassets.com/arquivos/ids/8068098/7506823611_1_xlarge.jpg?v=638752357668100000,0.0,250.0,11.2,Café
Café Gourmet Moido Aromas Baggio De Chocolate Com Avelã 250G,77.51,https://americanas.vtexassets.com/arquivos/ids/17511397/5097968754_1_xlarge.jpg?v=638754774078900000,0.0,250.0,31.0,Café
Café Gourmet Moido Aromas Baggio De Chocolate Com Avelã 250G,56.7,https://americanas.vtexassets.com/arquivos/ids/28292119/4990217793_1_xlarge.jpg?v=638755683986630000,0.0,250.0,22.68,Café
Café Torrado E Moido Pilão 250G Kit Com 5 Un. Tradicional,,https://americanas.vtexassets.com/arquivos/ids/9712509/7508304462_1_xlarge.jpg?v=638752540663270000,0.0,250.0,,Café
