produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café Caboclo Tradicional Torrado E Moído Vácuo 500g,29.39,https://http2.mlstatic.com/D_Q_NP_2X_717795-MLU70685900723_072023-V.webp,4.8,500.0,5.88,Café
Café Torrado e Moído Extraforte Caixa 500g Melitta,38.21,https://http2.mlstatic.com/D_Q_NP_2X_684985-MLU74118446812_012024-V.webp,4.9,500.0,7.64,Café
Café Torrado em Grãos Espresso Pilão Pouch 1kg,104.9,https://http2.mlstatic.com/D_Q_NP_2X_978672-MLA75698756866_042024-V.webp,4.8,1000.0,10.49,Café
Cappuccino diet 3 Corações 150g,23.59,https://http2.mlstatic.com/D_Q_NP_2X_760663-MLA82982047591_032025-V.webp,4.9,150.0,15.73,Cappuccino
Café Lor Solúvel Classic Sache 40g,14.19,https://http2.mlstatic.com/D_Q_NP_2X_619905-MLU72565850964_112023-V.webp,4.8,40.0,35.47,Café
Café Melitta 500g Torrado E Moído A Vácuo,40.99,https://http2.mlstatic.com/D_Q_NP_2X_786667-MLB53182203688_012023-V.webp,4.8,500.0,8.2,Café
Café Solúvel Liofilizado Intense L'or Vidro 130g,46.75,https://http2.mlstatic.com/D_Q_NP_2X_844737-MLU73513488947_122023-V.webp,4.9,130.0,35.96,Café
Café Aromatizado Amêndoas Torradas - Café Floresta - 100gr,22.89,https://http2.mlstatic.com/D_Q_NP_2X_738315-MLA79267821554_092024-V.webp,4.9,100.0,22.89,Café
Combo Cappuccinos 3 Corações Sabores 20g Pacote C/20 Sachês,57.99,https://http2.mlstatic.com/D_Q_NP_2X_645485-MLA80948824575_112024-V.webp,5.0,20.0,289.95,Cappuccino
Café Orfeu Bourbon Amarelo Torrado Em Grãos - Pacote 250g,38.9,https://http2.mlstatic.com/D_Q_NP_2X_752591-MLU77926396499_072024-V.webp,4.9,250.0,15.56,Café
Cappuccino Cremoso Em Pó Tipo Cafeteria Vending 1kg C/ 3 Un,178.73,https://http2.mlstatic.com/D_Q_NP_2X_712845-MLU78325269449_082024-V.webp,4.8,1000.0,17.87,Cappuccino
Café Especial Em Grãos Coffee Mais Caparaó 250g,49.9,https://http2.mlstatic.com/D_Q_NP_2X_946941-MLU76728925005_052024-V.webp,4.8,250.0,19.96,Café
